40
40000000/10000000 50000000/10000000
49384600/10000000 57820299/10000000
47553699/10000000 65448000/10000000
35641899/10000000 68156500/10000000
40454300/10000000 79384500/10000000
35360599/10000000 85350099/10000000
23517199/10000000 82356500/10000000
22708799/10000000 94545600/10000000
15462100/10000000 97549199/10000000
6267909/10000000 89505899/10000000
14816/10000000 100000000/10000000
-7805629/10000000 99387000/10000000
-12347199/10000000 88046699/10000000
-22682400/10000000 94559100/10000000
-29372500/10000000 90462999/10000000
-28271699/10000000 78296799/10000000
-40436900/10000000 79408399/10000000
-44538900/10000000 72722000/10000000
-38035700/10000000 62380999/10000000
-49380000/10000000 57849500/10000000
-50000000/10000000 50029599/10000000
-39511399/10000000 43767200/10000000
-47562900/10000000 34580200/10000000
-44565800/10000000 27330799/10000000
-32377400/10000000 26511599/10000000
-35381499/10000000 14670900/10000000
-29420400/10000000 9571810/10000000
-18188100/10000000 14374299/10000000
-15490299/10000000 2460010/10000000
-7864159/10000000 622323/10000000
-35559/10000000 10000000/10000000
7776349/10000000 608419/10000000
15405799/10000000 2432539/10000000
18124799/10000000 14341999/10000000
29348500/10000000 9519559/10000000
35318700/10000000 14608000/10000000
32335599/10000000 26454099/10000000
44525400/10000000 27251600/10000000
47535399/10000000 34495600/10000000
39500299/10000000 43697000/10000000
